#                  N = 80.00                                       N = 80.00                                       N = 70.00                                       N = 60.00                                       N = 50.00                                       N = 50.00                                       N = 40.00                                       N = 30.00                                       N = 20.00                                       N = 10.00                    
#          r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)           r [Å]            ρ(r)           Δρ(r)
  1.28000000E+00  4.41058491E-02  2.63036206E-04  1.28000000E+00  4.81543454E-02  2.26803617E-04  1.28000000E+00  4.67664482E-02  3.28909966E-04  1.28000000E+00  4.55608868E-02  4.27194165E-04  1.28000000E+00  4.36620877E-02  2.94789012E-04  1.28000000E+00  3.13576100E-02  4.80186812E-04  1.28000000E+00  2.04822364E-02  1.77883814E-04  1.28000000E+00  3.31569852E-03  5.71444666E-05  1.28000000E+00  3.48221221E-06  3.04676640E-08  1.28000000E+00  2.13512477E-07  5.40668159E-09
  1.32000000E+00  4.81073956E-02  2.49060202E-04  1.32000000E+00  5.22354034E-02  2.57461300E-04  1.32000000E+00  4.98991273E-02  3.36105356E-04  1.32000000E+00  4.82480865E-02  3.88994632E-04  1.32000000E+00  4.49644973E-02  3.42489619E-04  1.32000000E+00  3.09214432E-02  5.38590584E-04  1.32000000E+00  1.94456355E-02  1.88097610E-04  1.32000000E+00  3.16381250E-03  5.39039433E-05  1.32000000E+00  3.88205036E-06  3.09883273E-08  1.32000000E+00  2.45336157E-07  6.46935170E-09
  1.36000000E+00  5.19598996E-02  2.56467265E-04  1.36000000E+00  5.63514849E-02  2.92427533E-04  1.36000000E+00  5.30155913E-02  3.74561654E-04  1.36000000E+00  5.06186423E-02  3.68262067E-04  1.36000000E+00  4.57986505E-02  3.46574144E-04  1.36000000E+00  3.02182976E-02  5.85101961E-04  1.36000000E+00  1.83988597E-02  1.86875354E-04  1.36000000E+00  3.00067491E-03  5.04714927E-05  1.36000000E+00  4.35157294E-06  3.65780120E-08  1.36000000E+00  2.75545645E-07  6.33708557E-09
  1.40000000E+00  5.58263502E-02  2.82608053E-04  1.40000000E+00  6.01544761E-02  3.76404315E-04  1.40000000E+00  5.59230133E-02  4.06022909E-04  1.40000000E+00  5.29954225E-02  3.19758233E-04  1.40000000E+00  4.65456344E-02  3.91350271E-04  1.40000000E+00  2.94037231E-02  6.28196681E-04  1.40000000E+00  1.72899758E-02  1.85069037E-04  1.40000000E+00  2.85119817E-03  4.64097252E-05  1.40000000E+00  4.88385997E-06  3.48428654E-08  1.40000000E+00  3.14140475E-07  7.65252495E-09
  1.44000000E+00  5.94465303E-02  3.17588801E-04  1.44000000E+00  6.35726920E-02  4.44745081E-04  1.44000000E+00  5.85176392E-02  4.88899140E-04  1.44000000E+00  5.49265946E-02  3.20116082E-04  1.44000000E+00  4.70264098E-02  4.42799396E-04  1.44000000E+00  2.86073159E-02  6.59461787E-04  1.44000000E+00  1.62830103E-02  1.87329522E-04  1.44000000E+00  2.70135511E-03  4.48323500E-05  1.44000000E+00  5.45234312E-06  3.63704641E-08  1.44000000E+00  3.44777571E-07  6.76330985E-09
  1.48000000E+00  6.28896985E-02  3.58770473E-04  1.48000000E+00  6.67003241E-02  5.19741775E-04  1.48000000E+00  6.06866059E-02  5.19713202E-04  1.48000000E+00  5.63736756E-02  3.56993383E-04  1.48000000E+00  4.72271796E-02  4.60150185E-04  1.48000000E+00  2.76690056E-02  6.89527377E-04  1.48000000E+00  1.52069552E-02  1.81638841E-04  1.48000000E+00  2.56276008E-03  4.19075645E-05  1.48000000E+00  6.10433479E-06  3.91767461E-08  1.48000000E+00  3.92242662E-07  7.23803634E-09
  1.52000000E+00  6.56962564E-02  3.58091630E-04  1.52000000E+00  6.97896661E-02  5.67452116E-04  1.52000000E+00  6.24809681E-02  5.91178043E-04  1.52000000E+00  5.76839539E-02  4.24796031E-04  1.52000000E+00  4.69731370E-02  4.86509520E-04  1.52000000E+00  2.66790691E-02  7.10114835E-04  1.52000000E+00  1.41841005E-02  1.80405461E-04  1.52000000E+00  2.43930235E-03  4.02344550E-05  1.52000000E+00  6.84659762E-06  4.18235278E-08  1.52000000E+00  4.36001866E-07  8.13902894E-09
  1.56000000E+00  6.83017195E-02  4.03009100E-04  1.56000000E+00  7.16439525E-02  6.37605488E-04  1.56000000E+00  6.38272069E-02  6.45341550E-04  1.56000000E+00  5.84559315E-02  4.83030907E-04  1.56000000E+00  4.66315929E-02  5.12209902E-04  1.56000000E+00  2.55561468E-02  7.26378995E-04  1.56000000E+00  1.32230130E-02  1.80878266E-04  1.56000000E+00  2.31210725E-03  3.74400217E-05  1.56000000E+00  7.67267849E-06  4.29772617E-08  1.56000000E+00  4.90398687E-07  8.56599514E-09
  1.60000000E+00  7.03338801E-02  4.15714881E-04  1.60000000E+00  7.32812578E-02  6.83301236E-04  1.60000000E+00  6.46320985E-02  7.43959367E-04  1.60000000E+00  5.91170811E-02  5.82274288E-04  1.60000000E+00  4.59089551E-02  5.49012549E-04  1.60000000E+00  2.43995550E-02  7.26510439E-04  1.60000000E+00  1.22430394E-02  1.70965306E-04  1.60000000E+00  2.18975358E-03  3.52975626E-05  1.60000000E+00  8.57959106E-06  4.54333232E-08  1.60000000E+00  5.44074120E-07  8.64905321E-09
  1.64000000E+00  7.16586872E-02  4.32165052E-04  1.64000000E+00  7.42894830E-02  7.56653105E-04  1.64000000E+00  6.49279623E-02  7.83328046E-04  1.64000000E+00  5.91280190E-02  6.66200854E-04  1.64000000E+00  4.47713335E-02  5.34561832E-04  1.64000000E+00  2.31301819E-02  7.15756814E-04  1.64000000E+00  1.13807259E-02  1.76664316E-04  1.64000000E+00  2.08291825E-03  3.27165114E-05  1.64000000E+00  9.58684181E-06  4.80513100E-08  1.64000000E+00  6.23887377E-07  8.75111011E-09
